"week","alerts","city"
"2021-02-21T00:00:00.000Z",74,"mumbai"
"2021-02-28T00:00:00.000Z",65,"mumbai"
"2021-03-07T00:00:00.000Z",56,"mumbai"
"2021-03-14T00:00:00.000Z",43,"mumbai"
"2021-03-21T00:00:00.000Z",43,"mumbai"
"2021-03-28T00:00:00.000Z",26,"mumbai"
"2021-04-04T00:00:00.000Z",17,"mumbai"
"2021-04-11T00:00:00.000Z",14,"mumbai"
"2021-04-18T00:00:00.000Z",5,"mumbai"
"2021-04-25T00:00:00.000Z",3,"mumbai"
"2021-05-02T00:00:00.000Z",4,"mumbai"
"2021-05-09T00:00:00.000Z",10,"mumbai"
"2021-05-16T00:00:00.000Z",24,"mumbai"
"2021-05-23T00:00:00.000Z",20,"mumbai"
"2021-05-30T00:00:00.000Z",34,"mumbai"
"2021-06-06T00:00:00.000Z",59,"mumbai"
"2021-06-13T00:00:00.000Z",64,"mumbai"
"2021-06-20T00:00:00.000Z",76,"mumbai"
"2021-06-27T00:00:00.000Z",41,"mumbai"
"2021-07-04T00:00:00.000Z",43,"mumbai"
"2021-07-11T00:00:00.000Z",55,"mumbai"
"2021-07-18T00:00:00.000Z",71,"mumbai"
"2021-07-25T00:00:00.000Z",57,"mumbai"
"2021-08-01T00:00:00.000Z",98,"mumbai"
"2021-08-08T00:00:00.000Z",72,"mumbai"
"2021-08-15T00:00:00.000Z",135,"mumbai"
"2021-08-22T00:00:00.000Z",88,"mumbai"
"2021-08-29T00:00:00.000Z",80,"mumbai"
"2021-09-05T00:00:00.000Z",80,"mumbai"
"2021-09-12T00:00:00.000Z",89,"mumbai"
"2021-09-19T00:00:00.000Z",95,"mumbai"
"2021-09-26T00:00:00.000Z",71,"mumbai"
"2021-10-03T00:00:00.000Z",77,"mumbai"
"2021-10-10T00:00:00.000Z",74,"mumbai"
"2021-10-17T00:00:00.000Z",82,"mumbai"
"2021-10-24T00:00:00.000Z",84,"mumbai"
"2021-10-31T00:00:00.000Z",50,"mumbai"
"2021-11-07T00:00:00.000Z",61,"mumbai"
"2021-11-14T00:00:00.000Z",85,"mumbai"
"2021-11-21T00:00:00.000Z",109,"mumbai"
"2021-11-28T00:00:00.000Z",91,"mumbai"
"2021-12-05T00:00:00.000Z",101,"mumbai"
"2021-12-12T00:00:00.000Z",115,"mumbai"
"2021-12-19T00:00:00.000Z",84,"mumbai"
"2021-12-26T00:00:00.000Z",74,"mumbai"
"2019-04-21T00:00:00.000Z",108657,"manila"
"2019-04-28T00:00:00.000Z",108224,"manila"
"2019-05-05T00:00:00.000Z",73696,"manila"
"2019-05-12T00:00:00.000Z",96367,"manila"
"2019-05-19T00:00:00.000Z",114965,"manila"
"2019-05-26T00:00:00.000Z",125721,"manila"
"2019-06-02T00:00:00.000Z",108695,"manila"
"2019-06-09T00:00:00.000Z",113612,"manila"
"2019-06-16T00:00:00.000Z",127389,"manila"
"2019-06-23T00:00:00.000Z",138953,"manila"
"2019-06-30T00:00:00.000Z",117814,"manila"
"2019-07-07T00:00:00.000Z",132332,"manila"
"2019-07-14T00:00:00.000Z",136896,"manila"
"2019-07-21T00:00:00.000Z",143848,"manila"
"2019-07-28T00:00:00.000Z",150552,"manila"
"2019-08-04T00:00:00.000Z",168453,"manila"
"2019-08-11T00:00:00.000Z",163636,"manila"
"2019-08-18T00:00:00.000Z",153334,"manila"
"2019-08-25T00:00:00.000Z",157743,"manila"
"2019-09-01T00:00:00.000Z",166814,"manila"
"2019-09-08T00:00:00.000Z",169938,"manila"
"2019-09-15T00:00:00.000Z",156799,"manila"
"2019-09-22T00:00:00.000Z",148236,"manila"
"2019-09-29T00:00:00.000Z",143540,"manila"
"2019-10-06T00:00:00.000Z",144344,"manila"
"2019-10-13T00:00:00.000Z",80828,"manila"
"2019-10-20T00:00:00.000Z",154563,"manila"
"2019-10-27T00:00:00.000Z",107313,"manila"
"2019-11-03T00:00:00.000Z",121049,"manila"
"2019-11-10T00:00:00.000Z",137317,"manila"
"2019-11-17T00:00:00.000Z",157965,"manila"
"2019-11-24T00:00:00.000Z",149925,"manila"
"2019-12-01T00:00:00.000Z",129029,"manila"
"2019-12-08T00:00:00.000Z",188278,"manila"
"2019-12-15T00:00:00.000Z",176050,"manila"
"2019-12-22T00:00:00.000Z",88818,"manila"
"2019-12-29T00:00:00.000Z",45351,"manila"
"2020-01-05T00:00:00.000Z",98583,"manila"
"2020-01-12T00:00:00.000Z",107524,"manila"
"2020-01-19T00:00:00.000Z",127012,"manila"
"2020-01-26T00:00:00.000Z",122427,"manila"
"2020-02-02T00:00:00.000Z",121569,"manila"
"2020-02-09T00:00:00.000Z",126505,"manila"
"2020-02-16T00:00:00.000Z",119737,"manila"
