"iso","country","variable","value","source"
"MEX","Mexico","SDG 6.4.2. Water Stress (%)",44.8170243,"FAO Aquastat"
"TUR","Türkiye","SDG 6.4.2. Water Stress (%)",45.7056971,"FAO Aquastat"
"KGZ","Kyrgyzstan","SDG 6.4.2. Water Stress (%)",50.038956,"FAO Aquastat"
"PSE","Palestine","SDG 6.4.2. Water Stress (%)",50.2638711,"FAO Aquastat"
"MAR","Morocco","SDG 6.4.2. Water Stress (%)",50.751212,"FAO Aquastat"
"KNA","Saint Kitts and Nevis","SDG 6.4.2. Water Stress (%)",50.8333333,"FAO Aquastat"
"BEL","Belgium","SDG 6.4.2. Water Stress (%)",51.5847666,"FAO Aquastat"
"AFG","Afghanistan","SDG 6.4.2. Water Stress (%)",54.7570194,"FAO Aquastat"
"AZE","Azerbaijan","SDG 6.4.2. Water Stress (%)",55.5972621,"FAO Aquastat"
"ARM","Armenia","SDG 6.4.2. Water Stress (%)",57.0909824,"FAO Aquastat"
"LBN","Lebanon","SDG 6.4.2. Water Stress (%)",58.7929916,"FAO Aquastat"
"ZAF","South Africa","SDG 6.4.2. Water Stress (%)",65.0336215,"FAO Aquastat"
"IND","India","SDG 6.4.2. Water Stress (%)",66.4920928,"FAO Aquastat"
"TJK","Tajikistan","SDG 6.4.2. Water Stress (%)",69.9432643,"FAO Aquastat"
"SWZ","Eswatini","SDG 6.4.2. Water Stress (%)",77.5599129,"FAO Aquastat"
"IRQ","Iraq","SDG 6.4.2. Water Stress (%)",79.5140449,"FAO Aquastat"
"IRN","Iran (Islamic Republic of)","SDG 6.4.2. Water Stress (%)",81.2890813,"FAO Aquastat"
"MLT","Malta","SDG 6.4.2. Water Stress (%)",81.8599396,"FAO Aquastat"
"SGP","Singapore","SDG 6.4.2. Water Stress (%)",83.1166667,"FAO Aquastat"
"KOR","Republic of Korea","SDG 6.4.2. Water Stress (%)",85.221833,"FAO Aquastat"
"BRB","Barbados","SDG 6.4.2. Water Stress (%)",87.5,"FAO Aquastat"
"LKA","Sri Lanka","SDG 6.4.2. Water Stress (%)",90.7854137,"FAO Aquastat"
"TUN","Tunisia","SDG 6.4.2. Water Stress (%)",98.1133992,"FAO Aquastat"
"JOR","Jordan","SDG 6.4.2. Water Stress (%)",104.31277,"FAO Aquastat"
"ISR","Israel","SDG 6.4.2. Water Stress (%)",110.085411,"FAO Aquastat"
"PAK","Pakistan","SDG 6.4.2. Water Stress (%)",116.305748,"FAO Aquastat"
"OMN","Oman","SDG 6.4.2. Water Stress (%)",116.714286,"FAO Aquastat"
"SDN","Sudan","SDG 6.4.2. Water Stress (%)",118.656388,"FAO Aquastat"
"SYR","Syrian Arab Republic","SDG 6.4.2. Water Stress (%)",124.360139,"FAO Aquastat"
"BHR","Bahrain","SDG 6.4.2. Water Stress (%)",133.706897,"FAO Aquastat"
"TKM","Turkmenistan","SDG 6.4.2. Water Stress (%)",135.213807,"FAO Aquastat"
"DZA","Algeria","SDG 6.4.2. Water Stress (%)",137.92036,"FAO Aquastat"
"EGY","Egypt","SDG 6.4.2. Water Stress (%)",141.165756,"FAO Aquastat"
"UZB","Uzbekistan","SDG 6.4.2. Water Stress (%)",168.924577,"FAO Aquastat"
"YEM","Yemen","SDG 6.4.2. Water Stress (%)",169.761905,"FAO Aquastat"
"QAT","Qatar","SDG 6.4.2. Water Stress (%)",431.034483,"FAO Aquastat"
"LBY","Libya","SDG 6.4.2. Water Stress (%)",817.142857,"FAO Aquastat"
"SAU","Saudi Arabia","SDG 6.4.2. Water Stress (%)",974.166667,"FAO Aquastat"
"ARE","United Arab Emirates","SDG 6.4.2. Water Stress (%)",1587.33333,"FAO Aquastat"
"KWT","Kuwait","SDG 6.4.2. Water Stress (%)",3850.5,"FAO Aquastat"
