"country_code","country_name","CoCA","CoNA","CoRD","CoRD_f","CoRD_v","CoRD_ss","CoRD_asf","CoRD_lns","CoRD_of","CoCA_headcount","CoNA_headcount","CoRD_headcount","CoCA_unafford_n","CoNA_unafford_n","CoRD_unafford_n","gdp"
"HND","Honduras",1.146,3.472,3.36,0.484,0.68,0.637,1.083,0.229,0.248,16.9,55.2,53.7,1.6,5.2,5.1,5561.995
"HRV","Croatia",0.663,3.211,4.168,0.95,1.138,0.496,0.955,0.556,0.073,0.4,3.8,7.2,0,0.2,0.3,27154.08
"HTI","Haiti",1.095,2.929,3.93,0.377,0.845,0.646,1.583,0.35,0.128,21.5,70.8,82.7,2.4,7.8,9.1,3153.299
"HUN","Hungary",0.434,2.258,3.302,0.828,0.754,0.407,0.805,0.42,0.089,0.3,1.7,3.3,0,0.2,0.3,29501.12
"IDN","Indonesia",1.021,2.664,4.129,0.792,1.16,0.69,0.929,0.429,0.13,3.4,47,70.7,9,124.3,187.2,10935.63
"IND","India",0.789,2.125,2.824,0.504,0.588,0.407,0.892,0.292,0.142,2.1,57.3,74.9,28.8,766.6,1002.5,6182.922
"IRL","Ireland",0.568,2.026,2.397,0.621,0.582,0.326,0.523,0.285,0.06,0.2,0.3,0.3,0,0,0,77749.2
"IRN","Iran, Islamic Rep.",0.871,2.009,3.005,0.627,0.49,0.444,0.704,0.575,0.165,0.1,4,12,0.1,3.2,9.6,15883.39
"IRQ","Iraq",1.165,2.505,3.378,0.654,0.667,0.639,0.999,0.285,0.133,1.7,30.1,53.3,0.6,11.3,20,10526.37
"ISL","Iceland",0.378,2.422,2.213,0.484,0.525,0.277,0.596,0.277,0.055,0,0,0,0,0,0,55638.49
"ISR","Israel",0.503,1.898,2.436,0.562,0.397,0.345,0.842,0.216,0.074,0.2,1.2,1.7,0,0.1,0.2,39121.3
"ITA","Italy",0.312,2.226,2.885,0.812,0.751,0.221,0.778,0.266,0.057,1,2.1,2.9,0.6,1.3,1.7,41581.12
"JAM","Jamaica",1.015,4.057,5.975,1.997,1.454,0.684,1.144,0.454,0.242,1.5,45.6,64.7,0,1.3,1.9,9600.105
