"SUM of val","","sex_name"
"iso3c",,"f"
"ASM",,0.6405510084
"ASM",,0.003534249684
"ASM",,0.1873192244
"ASM",,0.1336018067
"ASM",,0.03490042407
"ASM",,0.0000273
"ASM",,0.8652248389
"ASM",,0.06472519317
"ASM",,0.07691492993
"ASM",,0.2670356245
"ASM",,0.0776358005
"ASM",,0.01098605965
"ASM",,0.06638704991
"ASM",,0.1988528764
"ASM",,0.03556225294
"ASM",,0.1170053136
"ASM",,0.1909100038
"ASM",,0.6908299238
"ASM",,0.2401108796
"ASM",,0
"ASM",,0.04356207852
"ASM",,0
"ASM",,0.001278297516
"ASM",,0
"ASM",,0
"ASM",,0.04468593856
"ASM",,0.004761776516
"ASM",,0.02952611088
"ASM",,0.08117759206
"ASM",,0.2501834538
"ASM",,0.155983021
"ATG",,0.03294657177
"ATG",,1.420924828
"ATG",,0.05317093651
"ATG",,0.0004002132049
"ATG",,0.5762945395
"ATG",,0.0002763141056
"ATG",,0.00000532
"ATG",,0.04640199884
"ATG",,0.04648934179
"ATG",,0.0000293
"ATG",,0.0000255
"ATG",,0.0008750054809
"ATG",,0
"ATG",,0.01627569994
"ATG",,0
"ATG",,0
"ATG",,0
"ATG",,0
"ATG",,0.006799040737
"ATG",,0.004809155675
"ATG",,0.0000188
"ATG",,0.0006154100281
"ATG",,0
"ATG",,0.000054
"ATG",,0.0001625175006
"ATG",,0.002775796311
"ATG",,0.4060548544
"ATG",,0.07416653388
"ATG",,0.003959514431
"ATG",,0.02218546625
"ATG",,0.008779056974
"ATG",,0.02488932736
"ATG",,0.04950297483
"ATG",,0.2612850779
"ATG",,0.06760722263
"ATG",,0.003490283002
"ATG",,0.2221496516
"ATG",,2.486917482
"ATG",,1.247568267
"ATG",,0.23467385
"ATG",,
"ATG",,0.4822425446
"ATG",,0.02162911073
"ATG",,0.01466940419
"ATG",,0.01022086722
"ATG",,0.04082250364
"ATG",,0.1251690327
"ATG",,0.06422766485
"ATG",,0.01441492061
"ATG",,0.4904151666
"ATG",,
"ATG",,0.09125433371
"ATG",,0.03456675784
"ATG",,0.2513852803
"ATG",,0.04638289909
"ATG",,0.007379182517
"ATG",,0.009262626897
"ATG",,0.239924242
"ATG",,0.06403804355
"ATG",,0.3702792859
"ATG",,0.01246396046
"ATG",,0.2061774417
"ATG",,0.9336607755
"ATG",,1.374450921
"ATG",,0.5403074078
"ATG",,0.2013870728
"ATG",,0.02430865817
"ATG",,0.02689821868
"ATG",,0.009755314126
"ATG",,0.06370919787
"ATG",,0.06345004493
"ATG",,0.03824583227
"ATG",,0.000630604836
"ATG",,0.1293178904
"ATG",,0.03302191377
"ATG",,0.05790120125
"ATG",,0.463931339
"ATG",,0.02325805054
"ATG",,0.08708346436
"ATG",,0.009687378158
"ATG",,0.03508782999
"ATG",,0.006989745049
"ATG",,0.06380772392
"ATG",,0.0255237873
"ATG",,0.05720569336
"ATG",,0.02896966495
"ATG",,0.008730753987
"ATG",,0.3991247896
"ATG",,0.1174238813
"ATG",,0.01117892202
"ATG",,0.1015506144
"ATG",,0.3756051743
"ATG",,0.07386439895
"ATG",,0.0004203786816
"ATG",,1.315990153
"ATG",,0.0004740748285
"ATG",,1.555082734
"ATG",,0.1680937328
"ATG",,0.05426520377
"ATG",,0.4035612696
"ATG",,0.6995533273
"ATG",,0.01604537169
"ATG",,0.4150753742
"ATG",,0.262985194
"ATG",,0.06867293738
"ATG",,0.02435641882
"ATG",,0.6518141382
"ATG",,0.0896623166
"ATG",,0.02387692913
